; DOASIS Fit Result File
; Date and Time of Creation: 2/14/2017 17:01:40
; DOASIS Version: 3.2.5029
; Fit Scenario File Name: D:\Car-MAX-DOAS\JS\NO2_O4(405-450nm)_Diff.fs
; 
; 
Fit Coefficient (NO2_298K_(425-490nm))	Fit Coefficient Error (NO2_298K_(425-490nm))	Shift (NO2_298K_(425-490nm))	Shift Error (NO2_298K_(425-490nm))	Squeeze (NO2_298K_(425-490nm))	Squeeze Error (NO2_298K_(425-490nm))	Quadratic Squeeze (NO2_298K_(425-490nm))	Quadratic Squeeze Error (NO2_298K_(425-490nm))	Cubic Squeeze (NO2_298K_(425-490nm))	Cubic Squeeze Error (NO2_298K_(425-490nm))	Fit Coefficient (NO2_220K_(425-490nm))	Fit Coefficient Error (NO2_220K_(425-490nm))	Shift (NO2_220K_(425-490nm))	Shift Error (NO2_220K_(425-490nm))	Squeeze (NO2_220K_(425-490nm))	Squeeze Error (NO2_220K_(425-490nm))	Quadratic Squeeze (NO2_220K_(425-490nm))	Quadratic Squeeze Error (NO2_220K_(425-490nm))	Cubic Squeeze (NO2_220K_(425-490nm))	Cubic Squeeze Error (NO2_220K_(425-490nm))	Fit Coefficient (O3_223K_(425-490nm))	Fit Coefficient Error (O3_223K_(425-490nm))	Shift (O3_223K_(425-490nm))	Shift Error (O3_223K_(425-490nm))	Squeeze (O3_223K_(425-490nm))	Squeeze Error (O3_223K_(425-490nm))	Quadratic Squeeze (O3_223K_(425-490nm))	Quadratic Squeeze Error (O3_223K_(425-490nm))	Cubic Squeeze (O3_223K_(425-490nm))	Cubic Squeeze Error (O3_223K_(425-490nm))	Fit Coefficient (O4_293K_(425-490nm))	Fit Coefficient Error (O4_293K_(425-490nm))	Shift (O4_293K_(425-490nm))	Shift Error (O4_293K_(425-490nm))	Squeeze (O4_293K_(425-490nm))	Squeeze Error (O4_293K_(425-490nm))	Quadratic Squeeze (O4_293K_(425-490nm))	Quadratic Squeeze Error (O4_293K_(425-490nm))	Cubic Squeeze (O4_293K_(425-490nm))	Cubic Squeeze Error (O4_293K_(425-490nm))	Fit Coefficient (H2O_(425-490nm))	Fit Coefficient Error (H2O_(425-490nm))	Shift (H2O_(425-490nm))	Shift Error (H2O_(425-490nm))	Squeeze (H2O_(425-490nm))	Squeeze Error (H2O_(425-490nm))	Quadratic Squeeze (H2O_(425-490nm))	Quadratic Squeeze Error (H2O_(425-490nm))	Cubic Squeeze (H2O_(425-490nm))	Cubic Squeeze Error (H2O_(425-490nm))	Fit Coefficient (Ring_(425-490nm))	Fit Coefficient Error (Ring_(425-490nm))	Shift (Ring_(425-490nm))	Shift Error (Ring_(425-490nm))	Squeeze (Ring_(425-490nm))	Squeeze Error (Ring_(425-490nm))	Quadratic Squeeze (Ring_(425-490nm))	Quadratic Squeeze Error (Ring_(425-490nm))	Cubic Squeeze (Ring_(425-490nm))	Cubic Squeeze Error (Ring_(425-490nm))	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Poly. Coeff. 4	Poly. Coeff. Error 4	Poly. Coeff. 5	Poly. Coeff. Error 5	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	AzimuthAngle	Delta	Deviation	ElevationAngle	ExposureTime	FileName	Latitude	Longitude	Name	NumScans	Pressure	ScanGeometry	StartDateAndTime	StopDateAndTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-400986709315188	3.73462026934419E+15	0.110838310858454	0.164171610163593	0.990269468204023	0.00500942494057932	0	0	0	0	4.04164484769826E+16	1.26757037571578E+16	0.110838310858454	0.164171610163593	0.990269468204023	0.00500942494057932	0	0	0	0	1.35447009488842E+18	8.73956668245653E+18	0.110838310858454	0.164171610163593	0.990269468204023	0.00500942494057932	0	0	0	0	8.1492151358664E+42	1.54807906186337E+43	0.110838310858454	0.164171610163593	0.990269468204023	0.00500942494057932	0	0	0	0	-9.33682210507302E+21	2.7430340768152E+22	0.110838310858454	0.164171610163593	0.990269468204023	0.00500942494057932	0	0	0	0	3.55605959257708E+25	1.8586943081427E+24	0.0972870012352636	0.0362827917947535	1.00018350786518	0.00151383347554107	0	0	0	0	0.000461038605381299	0.0120659665309258	0.00209806145539454	6	-161.860673264839	150.737322230166	1.33604337896447	1.55166047042096	-0.00374831782902789	0.0066695931511843	2.89907975078694E-06	1.54091042095824E-05	3.60082587701563E-09	1.92286788989296E-08	-5.03547276766737E-12	1.01132901965826E-11	1.33086675464861E-06	3.52864696784788E-05	0	2.03703625688479	0.155639644843829	0	2687.24822998047	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000001	31.8367958068848	117.262794494629	Meas	7	0	SAZ: 57.1701815661845 SZA: 150.519863704329 LAZ: 190.343657257902 LAZ: 25.48026067453 Date: 2/13/2017 02:05:47 Lat.: 31.8367958068848 Lon.: 117.262794494629 TimeZoneOffset: 08:00:00	2017-02-13 02:05:47	2017-02-13 02:06:06	0	08:00:00	0.25460941817102395	0.0006187864752644169	30.0528		02/13/2017 02:05:20	02/13/2017 02:05:39	90.3528		0.0242236990471131
1.54852708602639E+16	3.78568243648095E+15	0.0792763545841089	0.134350445218841	0.993081397696843	0.00414811451630971	0	0	0	0	-4.99631967186056E+15	1.30421550865661E+16	0.0792763545841089	0.134350445218841	0.993081397696843	0.00414811451630971	0	0	0	0	1.97030031245794E+19	8.84481802835653E+18	0.0792763545841089	0.134350445218841	0.993081397696843	0.00414811451630971	0	0	0	0	-1.99816191242897E+43	1.52050416461051E+43	0.0792763545841089	0.134350445218841	0.993081397696843	0.00414811451630971	0	0	0	0	-1.10270682821748E+22	2.76054344459031E+22	0.0792763545841089	0.134350445218841	0.993081397696843	0.00414811451630971	0	0	0	0	3.67657362404749E+25	1.85978196497897E+24	0.172317768549556	0.0353822148025553	0.998510692367598	0.00147684405851473	0	0	0	0	0.000446064570208794	0.0135846745983275	0.00212205160648182	7	-226.095905978242	173.860156577113	1.89041900461162	1.83950632209783	-0.00541138156480956	0.00803813331623286	4.59142132743535E-06	1.84425136207635E-05	4.21548900958351E-09	2.23409110100878E-08	-6.54740907029045E-12	1.13126956102061E-11	2.02685584875465E-06	3.47087064923416E-05	0	3.10329523023979	0.17580829332991	0	2561.75756454468	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000002	31.8367938995361	117.262794494629	Meas	8	0	SAZ: 57.3040055062821 SZA: 150.448359906644 LAZ: 190.563881114162 LAZ: 25.4962712163853 Date: 2/13/2017 02:06:11 Lat.: 31.8367938995361 Lon.: 117.262794494629 TimeZoneOffset: 08:00:00	2017-02-13 02:06:11	2017-02-13 02:06:31	0	08:00:00	0.25081636435161864	0.0008758351395487948	30.0528		02/13/2017 02:05:20	02/13/2017 02:05:39	90.3528		0.0309085560035758
1.48998708665825E+16	4.98954222755675E+15	0.086470332967889	0.145553550616552	0.991750773481376	0.00467710198258921	0	0	0	0	6.74784970445108E+15	1.73214853162527E+16	0.086470332967889	0.145553550616552	0.991750773481376	0.00467710198258921	0	0	0	0	3.21691334976965E+19	1.22046028736428E+19	0.086470332967889	0.145553550616552	0.991750773481376	0.00467710198258921	0	0	0	0	5.58472430504883E+43	2.19807474099228E+43	0.086470332967889	0.145553550616552	0.991750773481376	0.00467710198258921	0	0	0	0	-3.49114960450229E+22	3.89750149801918E+22	0.086470332967889	0.145553550616552	0.991750773481376	0.00467710198258921	0	0	0	0	-9.98713581772792E+24	2.4853331539926E+24	-0.161969164824413	0.164433293801813	1.00551306336515	0.00706234651083476	0	0	0	0	0.00025994496936539	0.0182979227798117	0.00285054842755914	4	-38.4040352750215	265.115449252327	0.338416097823734	2.86377402673673	-0.000908245116337336	0.0126853495044673	-8.51238735110667E-09	2.90995215873139E-05	3.13564163578254E-09	3.47161703521336E-08	-3.20877791499632E-12	1.71555016163579E-11	4.94332134441632E-07	2.64959974061573E-05	0	1.07417717662316	0.101870211202736	0	2805.89921133859	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000004	31.8367919921875	117.262786865234	Meas	7	0	SAZ: 57.5810947305041 SZA: 150.299055994193 LAZ: 191.021846339015 LAZ: 25.5306218322318 Date: 2/13/2017 02:07:01 Lat.: 31.8367919921875 Lon.: 117.262786865234 TimeZoneOffset: 08:00:00	2017-02-13 02:07:01	2017-02-13 02:07:20	0	08:00:00	0.21977390535713445	0.0006801620413198271	149.7528		02/13/2017 02:06:36	02/13/2017 02:06:56	90.3528		0.01037753993049
9.17900508160092E+15	5.25588090944813E+15	0.145441663751492	0.135509405237029	0.990274041038413	0.00430979656006748	0	0	0	0	3.47490131959188E+16	1.81216953847528E+16	0.145441663751492	0.135509405237029	0.990274041038413	0.00430979656006748	0	0	0	0	4.26083256385117E+19	1.27970993793358E+19	0.145441663751492	0.135509405237029	0.990274041038413	0.00430979656006748	0	0	0	0	7.1760615323792E+43	2.3021222673766E+43	0.145441663751492	0.135509405237029	0.990274041038413	0.00430979656006748	0	0	0	0	7.15860738844425E+21	4.09650024044807E+22	0.145441663751492	0.135509405237029	0.990274041038413	0.00430979656006748	0	0	0	0	-1.29512363067637E+25	2.62190010463289E+24	0.00958662057199563	0.133940141288107	1.00019941354392	0.00574620982653187	0	0	0	0	0.000282967855976654	0.0197813802176203	0.00298694983020989	11	-95.1062456366506	257.719370763849	0.762487068967729	2.79990102315526	-0.00180254005802613	0.0125910565451081	-3.97846935044071E-07	2.95672677674295E-05	6.41187912878612E-09	3.62206804173048E-08	-6.02186517511019E-12	1.83245826722797E-11	1.0795866015621E-06	2.76444603303487E-05	0	1.03399337069282	0.110112100954722	0	2863.27961512974	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000005	31.8367862701416	117.26277923584	Meas	7	0	SAZ: 57.713291723493 SZA: 150.227232795892 LAZ: 191.241262142414 LAZ: 25.5475809374902 Date: 2/13/2017 02:07:25 Lat.: 31.8367862701416 Lon.: 117.26277923584 TimeZoneOffset: 08:00:00	2017-02-13 02:07:25	2017-02-13 02:07:45	0	08:00:00	0.2182966636163699	0.0006721441152885815	149.7528		02/13/2017 02:06:36	02/13/2017 02:06:56	90.3528		0.0121246747766629
1.94934657262281E+16	2.7348551724E+15	0.223268228306897	0.0798328063338496	0.990938228599165	0.00254914750088498	0	0	0	0	-1.11150065689727E+16	9.52961577695082E+15	0.223268228306897	0.0798328063338496	0.990938228599165	0.00254914750088498	0	0	0	0	5.52937216392724E+18	6.57352800887518E+18	0.223268228306897	0.0798328063338496	0.990938228599165	0.00254914750088498	0	0	0	0	-3.48007509983402E+42	1.15444064660891E+43	0.223268228306897	0.0798328063338496	0.990938228599165	0.00254914750088498	0	0	0	0	3.81746789343561E+22	2.09338451770037E+22	0.223268228306897	0.0798328063338496	0.990938228599165	0.00254914750088498	0	0	0	0	7.30818862095943E+24	1.34258106150971E+24	0.110143100987348	0.123550485716695	1.00095379165732	0.00530077263355797	0	0	0	0	0.00798121924910953	0.00855677541140376	0.00154307099896055	22	51.278476251823	NaN	-0.414816544382464	NaN	0.000993261275373691	NaN	1.31879872523409E-07	NaN	-3.25000133647019E-09	NaN	3.05684984754735E-12	NaN	2.2928923840804E-06	0.000146816269483688	0	2.4443243496601	0.311890440634159	0	848.777135213216	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000007	31.8366374969482	117.261932373047	Meas	24	0	SAZ: 57.986148573522 SZA: 150.077938170071 LAZ: 191.69569515758 LAZ: 25.5836236912913 Date: 2/13/2017 02:08:15 Lat.: 31.8366374969482 Lon.: 117.261932373047 TimeZoneOffset: 08:00:00	2017-02-13 02:08:15	2017-02-13 02:08:35	0	08:00:00	1.961899704246525	0.004495224472051546	30.0528		02/13/2017 02:07:51	02/13/2017 02:08:10	90.3528		0.0972756469589696
1.27597504325671E+16	2.79560403838384E+15	0.173550390743405	0.0826344522393535	0.99138916599643	0.00262412937883959	0	0	0	0	1.38041947500236E+16	9.69834726838876E+15	0.173550390743405	0.0826344522393535	0.99138916599643	0.00262412937883959	0	0	0	0	5.40327359845276E+18	6.8002249692449E+18	0.173550390743405	0.0826344522393535	0.99138916599643	0.00262412937883959	0	0	0	0	1.9960531051685E+43	1.2151267950702E+43	0.173550390743405	0.0826344522393535	0.99138916599643	0.00262412937883959	0	0	0	0	-2.51451330548028E+22	2.17140083013052E+22	0.173550390743405	0.0826344522393535	0.99138916599643	0.00262412937883959	0	0	0	0	1.37800635990306E+25	1.38583398946099E+24	-0.0752146013225698	0.068060589447881	1.00319642315675	0.00290436625391662	0	0	0	0	0.0074296045467658	0.0105627367687431	0.00159257937349958	6	-168.679834462062	NaN	1.36159502659172	NaN	-0.00360959834653032	NaN	2.28290305479917E-06	NaN	4.2204842284688E-09	NaN	-5.0597816088344E-12	NaN	3.38354833794386E-06	0.000141651902951394	0	2.60193750231028	0.240704670476484	0	567.39867074149	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000008	31.8365535736084	117.260620117188	Meas	35	0	SAZ: 58.1206002996437 SZA: 150.003770204108 LAZ: 191.920466298579 LAZ: 25.6019753510052 Date: 2/13/2017 02:08:40 Lat.: 31.8365535736084 Lon.: 117.260620117188 TimeZoneOffset: 08:00:00	2017-02-13 02:08:40	2017-02-13 02:09:00	0	08:00:00	1.9032363833584147	0.003725654517949876	30.0528		02/13/2017 02:07:51	02/13/2017 02:08:10	90.3528		0.0579387383891925
1.0537744613345E+16	3.50831193246444E+15	0.170304266546252	0.107544717312841	0.991862621401653	0.00334431787013286	0	0	0	0	2.19230006096184E+16	1.20448759749162E+16	0.170304266546252	0.107544717312841	0.991862621401653	0.00334431787013286	0	0	0	0	3.42422176986216E+19	8.24813786018849E+18	0.170304266546252	0.107544717312841	0.991862621401653	0.00334431787013286	0	0	0	0	8.78952622327333E+43	1.43118066566378E+43	0.170304266546252	0.107544717312841	0.991862621401653	0.00334431787013286	0	0	0	0	3.7171326118194E+22	2.59669259703074E+22	0.170304266546252	0.107544717312841	0.991862621401653	0.00334431787013286	0	0	0	0	1.01823965446887E+25	1.74160473243332E+24	-0.057955916416637	0.120948156481928	0.996644929494788	0.00500657945153633	0	0	0	0	0.000773771133139824	0.012068006307976	0.00197975572838471	15	-4457.40934697152	288.724639421705	36.878539120259	3.29784106875873	-0.102688593077908	0.0152574234849647	8.02947622197247E-05	3.57704361934211E-05	8.90631954393834E-08	4.24870606689087E-08	-1.25344263718066E-10	2.04274513961961E-11	3.96547487044843E-06	4.57136423144076E-05	0	0.82547867134371	0.181705363644626	0	1976.10549926758	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000010	31.8365440368652	117.259895324707	Meas	10	0	SAZ: 58.3901123680332 SZA: 149.853653207545 LAZ: 192.373338702855 LAZ: 25.6401492338246 Date: 2/13/2017 02:09:30 Lat.: 31.8365440368652 Lon.: 117.259895324707 TimeZoneOffset: 08:00:00	2017-02-13 02:09:30	2017-02-13 02:09:50	0	08:00:00	0.2340953047598344	0.0015492955349243993	149.7528		02/13/2017 02:09:06	02/13/2017 02:09:25	90.3528		0.0330168391772257
1.21245307170752E+16	5.93258701129884E+15	0.139003848263924	0.16854449684662	0.993681387609589	0.00530255423147862	0	0	0	0	1.88352777369394E+16	2.07095946886719E+16	0.139003848263924	0.16854449684662	0.993681387609589	0.00530255423147862	0	0	0	0	5.69387304705082E+19	1.38506181331929E+19	0.139003848263924	0.16854449684662	0.993681387609589	0.00530255423147862	0	0	0	0	5.42062800987188E+43	2.38779793931207E+43	0.139003848263924	0.16854449684662	0.993681387609589	0.00530255423147862	0	0	0	0	1.52244499793924E+22	4.3882493757593E+22	0.139003848263924	0.16854449684662	0.993681387609589	0.00530255423147862	0	0	0	0	-8.71252809656301E+24	2.9463163911279E+24	0.469667394700608	0.230347278976178	0.963057314830702	0.00952458529172886	0	0	0	0	0.00036205046196713	0.0267160977233163	0.00329808225168003	4	-3021.1608775371	NaN	25.1350896004069	NaN	-0.0706481392839621	NaN	5.70464841114096E-05	NaN	5.79694140834275E-08	NaN	-8.45517695857376E-11	NaN	1.35175370825683E-06	3.12697289709321E-05	0	1.02636182493223	0.152227165618101	0	1966.07723236084	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000011	31.8369846343994	117.259788513184	Meas	10	0	SAZ: 58.5237291270077 SZA: 149.778014357844 LAZ: 192.599686442802 LAZ: 25.6602109107437 Date: 2/13/2017 02:09:55 Lat.: 31.8369846343994 Lon.: 117.259788513184 TimeZoneOffset: 08:00:00	2017-02-13 02:09:55	2017-02-13 02:10:14	0	08:00:00	0.13133628593838784	0.0007380382512827391	149.7528		02/13/2017 02:09:06	02/13/2017 02:09:25	90.3528		0.0231731099521207
538371424150882	4.25696800132289E+15	0.10202348799871	0.180850215719436	0.99090087362274	0.00568732790318361	0	0	0	0	3.74643337688605E+16	1.46367745233472E+16	0.10202348799871	0.180850215719436	0.99090087362274	0.00568732790318361	0	0	0	0	-3.6684618117355E+17	1.04964809288907E+19	0.10202348799871	0.180850215719436	0.99090087362274	0.00568732790318361	0	0	0	0	4.47030912673763E+43	1.92573718627058E+43	0.10202348799871	0.180850215719436	0.99090087362274	0.00568732790318361	0	0	0	0	3.37608377048576E+22	3.37183360268595E+22	0.10202348799871	0.180850215719436	0.99090087362274	0.00568732790318361	0	0	0	0	-9.24811089295367E+24	2.09566982304182E+24	0.114176365973783	0.144954967368006	1.00402239179943	0.00633940524299713	0	0	0	0	0.0072624178602253	0.0148466214437996	0.00242267546230013	16	-681.609923734377	NaN	5.67057276151608	NaN	-0.0157469702882869	NaN	1.16496061766038E-05	NaN	1.57603481065802E-08	NaN	-2.10744804743572E-11	NaN	5.27932253305616E-06	0.00014004905437497	0	1.12525344771639	0.101690457803266	0	2272.8525797526	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000013	31.8398895263672	117.261093139648	Meas	9	0	SAZ: 58.7776873562202 SZA: 149.630327037111 LAZ: 193.03579487429 LAZ: 25.7019443434514 Date: 2/13/2017 02:10:43 Lat.: 31.8398895263672 Lon.: 117.261093139648 TimeZoneOffset: 08:00:00	2017-02-13 02:10:43	2017-02-13 02:11:04	0	08:00:00	1.4137507804060798	0.005643598426700161	30.0528		02/13/2017 02:10:20	02/13/2017 02:10:39	90.3528		0.0103409492082378
7.63678795919896E+15	3.88204117288153E+15	0.159050700098817	0.133744421072227	0.994173143068257	0.00428729065308691	0	0	0	0	2.19591143965821E+16	1.34910367984247E+16	0.159050700098817	0.133744421072227	0.994173143068257	0.00428729065308691	0	0	0	0	-7.34058669152523E+18	9.65960046912802E+18	0.159050700098817	0.133744421072227	0.994173143068257	0.00428729065308691	0	0	0	0	-1.14537900937931E+43	1.72454509133498E+43	0.159050700098817	0.133744421072227	0.994173143068257	0.00428729065308691	0	0	0	0	7.76182781386768E+21	3.13060754492447E+22	0.159050700098817	0.133744421072227	0.994173143068257	0.00428729065308691	0	0	0	0	-2.78781768526351E+25	1.89483334144864E+24	0.180358333516822	0.0423645134961957	0.999923284699839	0.00186951066326587	0	0	0	0	0.0132877300543607	0.0134591140709396	0.00220257242354305	6	434.693052999917	NaN	-3.62152579749962	NaN	0.0101586646930821	NaN	-7.91984364191841E-06	NaN	-9.23465843347224E-09	NaN	1.29486513994686E-11	NaN	9.94358377973595E-06	0.000189437067585248	0	1.69224895109637	0.301048943694853	0	1802.2048256614	D:\Car-MAX-DOAS\data\Setup7-2017-02-13\specMFC\Meas0000000\Meas0000014	31.8412761688232	117.261940002441	Meas	11	0	SAZ: 58.9148711564541 SZA: 149.550167002808 LAZ: 193.271883955435 LAZ: 25.7249039066697 Date: 2/13/2017 02:11:09 Lat.: 31.8412761688232 Lon.: 117.261940002441 TimeZoneOffset: 08:00:00	2017-02-13 02:11:09	2017-02-13 02:11:28	0	08:00:00	2.4362389351337908	0.00816733559740772	30.0528		02/13/2017 02:10:20	02/13/2017 02:10:39	90.3528		0.0906304664997869
